"Population projection 2026 by gender, district, age, and time",,,
Unit: quantity,,,
,,,2026
gender in total,Quarter - inner city,0 years,637
,,1 years,536
,,2 years,413
,,3 years,397
,,4 years,441
,,5 years,381
,,6 years,361
,,7 years,378
,,8 years,372
,,9 years,414
,,10 years,353
,,11 years,359
,,12 years,388
,,13 years,388
,,14 years,414
,,15 years,422
,,16 years,499
,,17 years,473
,,18 years,513
,,19 years,554
,,20 years,699
,,21 years,1073
,,22 years,1274
,,23 years,1505
,,24 years,1480
,,25 years,1641
,,26 years,1604
,,27 years,1551
,,28 years,1519
,,29 years,1455
,,30 years,1389
,,31 years,1305
,,32 years,1108
,,33 years,1008
,,34 years,875
,,35 years,855
,,36 years,771
,,37 years,772
,,38 years,624
,,39 years,642
,,40 years,637
,,41 years,538
,,42 years,536
,,43 years,553
,,44 years,514
,,45 years,635
,,46 years,596
,,47 years,652
,,48 years,588
,,49 years,624
,,50 years,753
,,51 years,784
,,52 years,744
,,53 years,775
,,54 years,805
,,55 years,717
,,56 years,730
,,57 years,694
,,58 years,764
,,59 years,818
,,60 years,727
,,61 years,671
,,62 years,637
,,63 years,561
,,64 years,504
,,65 years,476
,,66 years,452
,,67 years,472
,,68 years,450
,,69 years,469
,,70 years,430
,,71 years,403
,,72 years,433
,,73 years,418
,,74 years,380
,,75 years,453
,,76 years,436
,,77 years,425
,,78 years,402
,,79 years,446
,,80 years,398
,,81 years,355
,,82 years,320
,,83 years,314
,,84 years,208
,,85 years,184
,,86 years,149
,,87 years,118
,,88 years,87
,,89 years,87
,,90 years,45
,,91 years,39
,,92 years,30
,,93 years,27
,,94 years,19
,,95 years,9
,,96 years,12
,,97 years,5
,,98 years,4
,,99+ years,11
,Quarter - Østerbro,0 years,1117
,,1 years,891
,,2 years,825
,,3 years,701
,,4 years,777
,,5 years,668
,,6 years,668
,,7 years,607
,,8 years,644
,,9 years,652
,,10 years,606
,,11 years,632
,,12 years,607
,,13 years,652
,,14 years,641
,,15 years,701
,,16 years,731
,,17 years,714
,,18 years,771
,,19 years,809
,,20 years,897
,,21 years,1266
,,22 years,1621
,,23 years,1731
,,24 years,1883
,,25 years,2130
,,26 years,2047
,,27 years,2307
,,28 years,2334
,,29 years,2051
,,30 years,2207
,,31 years,1981
,,32 years,1745
,,33 years,1687
,,34 years,1483
,,35 years,1355
,,36 years,1238
,,37 years,1140
,,38 years,1031
,,39 years,1046
,,40 years,897
,,41 years,910
,,42 years,906
,,43 years,812
,,44 years,843
,,45 years,886
,,46 years,863
,,47 years,921
,,48 years,891
,,49 years,890
,,50 years,958
,,51 years,1028
,,52 years,1057
,,53 years,1087
,,54 years,1075
,,55 years,926
,,56 years,922
,,57 years,963
,,58 years,1077
,,59 years,982
,,60 years,1042
,,61 years,940
,,62 years,879
,,63 years,802
,,64 years,797
,,65 years,713
,,66 years,656
,,67 years,613
,,68 years,586
,,69 years,593
,,70 years,598
,,71 years,538
,,72 years,530
,,73 years,514
,,74 years,488
,,75 years,518
,,76 years,465
,,77 years,519
,,78 years,487
,,79 years,503
,,80 years,431
,,81 years,399
,,82 years,367
,,83 years,279
,,84 years,240
,,85 years,244
,,86 years,180
,,87 years,165
,,88 years,118
,,89 years,103
,,90 years,90
,,91 years,58
,,92 years,54
,,93 years,38
,,94 years,33
,,95 years,27
,,96 years,17
,,97 years,14
,,98 years,12
,,99+ years,15
,Quarter - Nørrebro,0 years,1286
,,1 years,1002
,,2 years,861
,,3 years,759
,,4 years,796
,,5 years,691
,,6 years,649
,,7 years,591
,,8 years,661
,,9 years,597
,,10 years,528
,,11 years,538
,,12 years,512
,,13 years,533
,,14 years,550
,,15 years,609
,,16 years,569
,,17 years,599
,,18 years,603
,,19 years,636
,,20 years,732
,,21 years,1145
,,22 years,1713
,,23 years,2191
,,24 years,2513
,,25 years,2780
,,26 years,2847
,,27 years,2822
,,28 years,2801
,,29 years,2656
,,30 years,2529
,,31 years,2413
,,32 years,2107
,,33 years,2012
,,34 years,1893
,,35 years,1669
,,36 years,1597
,,37 years,1379
,,38 years,1317
,,39 years,1181
,,40 years,1160
,,41 years,1023
,,42 years,941
,,43 years,908
,,44 years,923
,,45 years,826
,,46 years,825
,,47 years,775
,,48 years,791
,,49 years,787
,,50 years,829
,,51 years,789
,,52 years,750
,,53 years,789
,,54 years,724
,,55 years,697
,,56 years,686
,,57 years,682
,,58 years,688
,,59 years,756
,,60 years,669
,,61 years,660
,,62 years,592
,,63 years,527
,,64 years,513
,,65 years,495
,,66 years,467
,,67 years,436
,,68 years,416
,,69 years,425
,,70 years,389
,,71 years,359
,,72 years,354
,,73 years,334
,,74 years,279
,,75 years,299
,,76 years,252
,,77 years,257
,,78 years,249
,,79 years,239
,,80 years,212
,,81 years,228
,,82 years,171
,,83 years,159
,,84 years,111
,,85 years,100
,,86 years,99
,,87 years,71
,,88 years,59
,,89 years,56
,,90 years,46
,,91 years,31
,,92 years,29
,,93 years,26
,,94 years,16
,,95 years,19
,,96 years,9
,,97 years,11
,,98 years,2
,,99+ years,13
,Quarter - Vesterbro/Kongens Enghave,0 years,1400
,,1 years,1167
,,2 years,977
,,3 years,896
,,4 years,907
,,5 years,732
,,6 years,764
,,7 years,677
,,8 years,659
,,9 years,637
,,10 years,638
,,11 years,630
,,12 years,606
,,13 years,626
,,14 years,583
,,15 years,622
,,16 years,627
,,17 years,661
,,18 years,660
,,19 years,682
,,20 years,743
,,21 years,1115
,,22 years,1637
,,23 years,1898
,,24 years,2097
,,25 years,2276
,,26 years,2205
,,27 years,2429
,,28 years,2411
,,29 years,2466
,,30 years,2489
,,31 years,2390
,,32 years,2238
,,33 years,2177
,,34 years,2048
,,35 years,1912
,,36 years,1821
,,37 years,1637
,,38 years,1471
,,39 years,1369
,,40 years,1328
,,41 years,1192
,,42 years,1104
,,43 years,1122
,,44 years,1078
,,45 years,1129
,,46 years,1119
,,47 years,1067
,,48 years,1028
,,49 years,1073
,,50 years,1130
,,51 years,1154
,,52 years,1102
,,53 years,1091
,,54 years,1013
,,55 years,972
,,56 years,879
,,57 years,876
,,58 years,830
,,59 years,842
,,60 years,819
,,61 years,696
,,62 years,689
,,63 years,581
,,64 years,569
,,65 years,505
,,66 years,493
,,67 years,468
,,68 years,457
,,69 years,406
,,70 years,347
,,71 years,316
,,72 years,344
,,73 years,305
,,74 years,338
,,75 years,268
,,76 years,268
,,77 years,281
,,78 years,247
,,79 years,239
,,80 years,211
,,81 years,180
,,82 years,153
,,83 years,135
,,84 years,93
,,85 years,97
,,86 years,75
