"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
2024,Age in total,Ethnicity in total,Primary school and not mentioned,Copenhagen in total ,87116,48548,38568
,,,,district - inner city,5875,3207,2668
,,,,district - Østerbro,8814,4935,3879
,,,,district - Nørrebro,9945,5317,4628
,,,,district - Vesterbro/Kongens Enghave,10121,5670,4451
,,,,district - Valby,9362,5279,4083
,,,,district - Vanløse,5251,2947,2304
,,,,district - Brønshøj-Husum,8015,4372,3643
,,,,district - Bispebjerg,8416,4796,3620
,,,,district - Amager Øst,8035,4409,3626
,,,,district - Amager Vest,11952,6511,5441
,,,,local committee - inner city,4346,2371,1975
,,,,local committee - Christianshavn,1529,836,693
,,,,local committee - Østerbro,8814,4935,3879
,,,,local committee - Nørrebro,9945,5317,4628
,,,,local committee - Vesterbro,5204,2898,2306
,,,,local committee - Kgs. Enghave,4917,2772,2145
,,,,local committee - Valby,9362,5279,4083
,,,,local committee - Vanløse,5251,2947,2304
,,,,local committee - Brønshøj-Husum,8015,4372,3643
,,,,local committee - Bispebjerg,8416,4796,3620
,,,,local committee - Amager Øst,8035,4409,3626
,,,,local committee - Amager Vest,11952,6511,5441
,,,,inner city - Middelalderbyen,840,473,367
,,,,inner city - Metropolzonen,287,144,143
,,,,inner city - Nansensgade-kvarteret,727,401,326
,,,,inner city - Øster Farimagsgade-kvarteret,721,371,350
,,,,inner city - Østerport,456,240,216
,,,,inner city - Frederiksstaden,958,557,401
,,,,inner city - Gammelholm og Nyhavn,357,185,172
,,,,Christianshavn - Neden Vandet,366,193,173
,,,,Christianshavn - Oven Vandet,884,493,391
,,,,Christianshavn - Holmen og Refshaleøen,279,150,129
,,,,Østerbro - Nord/Komponistkvarteret,374,207,167
,,,,Østerbro - Svanemøllen Syd/Øst,1328,780,548
,,,,Østerbro - yearshusgade Nord,854,483,371
,,,,Østerbro - yearshusgade Syd,1202,677,525
,,,,Østerbro - Rosenvænget,1036,582,454
,,,,Østerbro - Ny Ryvang,701,393,308
,,,,Østerbro - Nord,531,270,261
,,,,Østerbro - Nordhavn,558,292,266
,,,,Østerbro - Lyngbyvej Vest,620,351,269
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,681,376,305
,,,,Østerbro - Fælled,929,524,405
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,2047,1088,959
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,2303,1242,1061
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1946,1076,870
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,2040,1105,935
,,,,Nørrebro - Haraldsgade-kvarteret,1609,806,803
,,,,Vesterbro - Vest,1276,684,592
,,,,Vesterbro - Central,2657,1499,1158
,,,,Vesterbro - Øst,882,495,387
,,,,Vesterbro - Syd,389,220,169
,,,,Kgs. Enghave - Bavnehøj,644,383,261
,,,,Kgs. Enghave - Gl. Sydhavn,2751,1566,1185
