Befolkningen efter tid, statsborgerskab, alder, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;all genders;Male;Female
2026K1;All citizenships;All ages;København i alt;671673;330281;341392
;;;Bydel - Indre By;57366;27985;29381
;;;Bydel - Østerbro;82153;39604;42549
;;;Bydel - Nørrebro;79895;38052;41843
;;;Bydel - Vesterbro/Kongens Enghave;84925;42428;42497
;;;Bydel - Valby;66391;32988;33403
;;;Bydel - Vanløse;40803;20105;20698
;;;Bydel - Brønshøj-Husum;45076;22457;22619
;;;Bydel - Bispebjerg;55730;27604;28126
;;;Bydel - Amager Øst;63942;31196;32746
;;;Bydel - Amager Vest;91678;45355;46323
;;;Bydel - Uden for inddeling;3714;2507;1207
;;;Lokaludvalg - Indre By;43888;21424;22464
;;;Lokaludvalg - Christianshavn;13478;6561;6917
;;;Lokaludvalg - Østerbro;82153;39604;42549
;;;Lokaludvalg - Nørrebro;79895;38052;41843
;;;Lokaludvalg - Vesterbro;49874;24737;25137
;;;Lokaludvalg - Kgs. Enghave;35051;17691;17360
;;;Lokaludvalg - Valby;66391;32988;33403
;;;Lokaludvalg - Vanløse;40803;20105;20698
;;;Lokaludvalg - Brønshøj-Husum;45076;22457;22619
;;;Lokaludvalg - Bispebjerg;55730;27604;28126
;;;Lokaludvalg - Amager Øst;63942;31196;32746
;;;Lokaludvalg - Amager Vest;91678;45355;46323
;;;Lokaludvalg - Uden for inddeling;3714;2507;1207
;;;Indre By - Middelalderbyen;8842;4453;4389
;;;Indre By - Metropolzonen;2882;1454;1428
;;;Indre By - Nansensgade-kvarteret;6664;3243;3421
;;;Indre By - Øster Farimagsgade-kvarteret;7364;3495;3869
;;;Indre By - Østerport;4607;2226;2381
;;;Indre By - Frederiksstaden;10200;4922;5278
;;;Indre By - Gammelholm og Nyhavn;3329;1631;1698
;;;Christianshavn - Neden Vandet;3201;1604;1597
;;;Christianshavn - Oven Vandet;6751;3204;3547
;;;Christianshavn - Holmen og Refshaleøen;3526;1753;1773
;;;Østerbro - Nord/Komponistkvarteret;3628;1748;1880
;;;Østerbro - Svanemøllen Syd/Øst;11064;5369;5695
;;;Østerbro - Århusgade Nord;9429;4548;4881
;;;Østerbro - Århusgade Syd;11953;5760;6193
;;;Østerbro - Rosenvænget;10101;4859;5242
;;;Østerbro - Ny Ryvang;3287;1620;1667
;;;Østerbro - Nord;4995;2272;2723
;;;Østerbro - Nordhavn;6535;3310;3225
;;;Østerbro - Lyngbyvej Vest;5369;2659;2710
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;7421;3571;3850
;;;Østerbro - Fælled;8371;3888;4483
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;14711;7041;7670
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;19827;9355;10472
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;17788;8449;9339
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;17379;8385;8994
;;;Nørrebro - Haraldsgade-kvarteret;10190;4822;5368
;;;Vesterbro - Vest;14084;6883;7201
;;;Vesterbro - Central;23223;11355;11868
;;;Vesterbro - Øst;7808;3957;3851
;;;Vesterbro - Syd;4759;2542;2217
;;;Kgs. Enghave - Bavnehøj;4019;1973;2046
;;;Kgs. Enghave - Gl. Sydhavn;14234;7040;7194
;;;Kgs. Enghave - Holmene;16798;8678;8120
;;;Valby - Gl. Valby;12535;6127;6408
;;;Valby - Syd;21313;10514;10799
;;;Valby - Ålholm;9897;4912;4985
;;;Valby - Valby Sydvest;15522;7771;7751
;;;Valby - Vigerslev;7124;3664;3460
;;;Vanløse - Jyllingevej Kvarter;11805;5902;5903
;;;Vanløse - Jernbane Allé Kvarter;14122;6894;7228
;;;Vanløse - Sallingvej Kvarter;9543;4676;4867
;;;Vanløse - Grøndals Park Kvarter;5333;2633;2700
;;;Brønshøj-Husum - Husum;15979;8027;7952
;;;Brønshøj-Husum - Husum Nord;8943;4498;4445
;;;Brønshøj-Husum - Tingbjerg;5731;2813;2918
;;;Brønshøj-Husum - Brønshøj;10713;5296;5417
;;;Brønshøj-Husum - Bellahøj;3710;1823;1887
;;;Bispebjerg - Emdrup;4353;2172;2181
;;;Bispebjerg- Ryparken-Lundehus;6572;3164;3408
