Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
2023;All employment statuses;All citizenships;København i alt;659350;324666;334684
;;;Bydel - Indre By;56667;27634;29033
;;;Bydel - Østerbro;81278;39065;42213
;;;Bydel - Nørrebro;79071;37851;41220
;;;Bydel - Vesterbro/Kongens Enghave;80922;40478;40444
;;;Bydel - Valby;65778;32765;33013
;;;Bydel - Vanløse;40710;20069;20641
;;;Bydel - Brønshøj-Husum;44467;22116;22351
;;;Bydel - Bispebjerg;54980;27356;27624
;;;Bydel - Amager Øst;62819;30646;32173
;;;Bydel - Amager Vest;88372;43858;44514
;;;Lokaludvalg - Indre By;43420;21138;22282
;;;Lokaludvalg - Christianshavn;13247;6496;6751
;;;Lokaludvalg - Østerbro;81278;39065;42213
;;;Lokaludvalg - Nørrebro;79071;37851;41220
;;;Lokaludvalg - Vesterbro;47909;23734;24175
;;;Lokaludvalg - Kgs. Enghave;33013;16744;16269
;;;Lokaludvalg - Valby;65778;32765;33013
;;;Lokaludvalg - Vanløse;40710;20069;20641
;;;Lokaludvalg - Brønshøj-Husum;44467;22116;22351
;;;Lokaludvalg - Bispebjerg;54980;27356;27624
;;;Lokaludvalg - Amager Øst;62819;30646;32173
;;;Lokaludvalg - Amager Vest;88372;43858;44514
;;;Indre By - Middelalderbyen;8637;4336;4301
;;;Indre By - Metropolzonen;2838;1428;1410
;;;Indre By - Nansensgade-kvarteret;6668;3282;3386
;;;Indre By - Øster Farimagsgade-kvarteret;7325;3469;3856
;;;Indre By - Østerport;4517;2187;2330
;;;Indre By - Frederiksstaden;10234;4873;5361
;;;Indre By - Gammelholm og Nyhavn;3201;1563;1638
;;;Christianshavn - Neden Vandet;3213;1602;1611
;;;Christianshavn - Oven Vandet;6657;3197;3460
;;;Christianshavn - Holmen og Refshaleøen;3377;1697;1680
;;;Østerbro - Nord/Komponistkvarteret;3596;1734;1862
;;;Østerbro - Svanemøllen Syd/Øst;10762;5219;5543
;;;Østerbro - Århusgade Nord;9359;4535;4824
;;;Østerbro - Århusgade Syd;11900;5700;6200
;;;Østerbro - Rosenvænget;10096;4833;5263
;;;Østerbro - Ny Ryvang;3096;1529;1567
;;;Østerbro - Nord;5029;2247;2782
;;;Østerbro - Nordhavn;6220;3167;3053
;;;Østerbro - Lyngbyvej Vest;5498;2711;2787
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;7292;3498;3794
;;;Østerbro - Fælled;8430;3892;4538
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;14788;7146;7642
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;19515;9204;10311
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;17634;8429;9205
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;16938;8216;8722
;;;Nørrebro - Haraldsgade-kvarteret;10196;4856;5340
;;;Vesterbro - Vest;12342;6036;6306
;;;Vesterbro - Central;23093;11314;11779
;;;Vesterbro - Øst;7808;3931;3877
;;;Vesterbro - Syd;4666;2453;2213
;;;Kgs. Enghave - Bavnehøj;3986;1975;2011
;;;Kgs. Enghave - Gl. Sydhavn;12761;6304;6457
;;;Kgs. Enghave - Holmene;16266;8465;7801
;;;Valby - Gl. Valby;12449;6096;6353
;;;Valby - Syd;21531;10619;10912
;;;Valby - Ålholm;9831;4880;4951
;;;Valby - Valby Sydvest;14694;7432;7262
;;;Valby - Vigerslev;7273;3738;3535
