Personer over 14 år efter tid, enhed, indkomsttype, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;Køn i alt;Mænd;Kvinder
2024;All people with incomes;Business income/Earned income;København i alt;439177;219114;220063
;;;Bydel - Indre By;38181;18947;19234
;;;Bydel - Østerbro;54613;26730;27883
;;;Bydel - Nørrebro;54570;26003;28567
;;;Bydel - Vesterbro/Kongens Enghave;57447;28768;28679
;;;Bydel - Valby;43520;22152;21368
;;;Bydel - Vanløse;26799;13464;13335
;;;Bydel - Brønshøj-Husum;25757;13296;12461
;;;Bydel - Bispebjerg;36066;18008;18058
;;;Bydel - Amager Øst;42594;21225;21369
;;;Bydel - Amager Vest;58263;29579;28684
;;;Bydel - Uden for inddeling;1367;942;425
;;;Lokaludvalg - Indre By;29602;14749;14853
;;;Lokaludvalg - Christianshavn;8579;4198;4381
;;;Lokaludvalg - Østerbro;54613;26730;27883
;;;Lokaludvalg - Nørrebro;54570;26003;28567
;;;Lokaludvalg - Vesterbro;33978;16702;17276
;;;Lokaludvalg - Kgs. Enghave;23469;12066;11403
;;;Lokaludvalg - Valby;43520;22152;21368
;;;Lokaludvalg - Vanløse;26799;13464;13335
;;;Lokaludvalg - Brønshøj-Husum;25757;13296;12461
;;;Lokaludvalg - Bispebjerg;36066;18008;18058
;;;Lokaludvalg - Amager Øst;42594;21225;21369
;;;Lokaludvalg - Amager Vest;58263;29579;28684
;;;Lokaludvalg - Uden for inddeling;1367;942;425
;;;Indre By - Middelalderbyen;6205;3147;3058
;;;Indre By - Metropolzonen;1853;945;908
;;;Indre By - Nansensgade-kvarteret;4700;2308;2392
;;;Indre By - Øster Farimagsgade-kvarteret;4945;2376;2569
;;;Indre By - Østerport;2872;1427;1445
;;;Indre By - Frederiksstaden;6750;3439;3311
;;;Indre By - Gammelholm og Nyhavn;2277;1107;1170
;;;Christianshavn - Neden Vandet;1965;996;969
;;;Christianshavn - Oven Vandet;4358;2081;2277
;;;Christianshavn - Holmen og Refshaleøen;2256;1121;1135
;;;Østerbro - Nord/Komponistkvarteret;2515;1184;1331
;;;Østerbro - Svanemøllen Syd/Øst;6976;3495;3481
;;;Østerbro - Århusgade Nord;6840;3300;3540
;;;Østerbro - Århusgade Syd;8380;4059;4321
;;;Østerbro - Rosenvænget;6881;3331;3550
;;;Østerbro - Ny Ryvang;1727;900;827
;;;Østerbro - Nord;2857;1392;1465
;;;Østerbro - Nordhavn;4317;2248;2069
;;;Østerbro - Lyngbyvej Vest;3364;1643;1721
;;;Østerbro - Lyngbyvej Øst/Klimakvarteret;5181;2548;2633
;;;Østerbro - Fælled;5575;2630;2945
;;;Nørrebro - Blågårdskvarteret/Assistens/Rantzausgade;9743;4692;5051
;;;Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade;13311;6303;7008
;;;Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade;12496;5907;6589
;;;Nørrebro - Mimersgade-kvarteret/ Nørrebro St.;12164;5892;6272
;;;Nørrebro - Haraldsgade-kvarteret;6856;3209;3647
;;;Vesterbro - Vest;8437;4093;4344
;;;Vesterbro - Central;16485;7933;8552
;;;Vesterbro - Øst;5555;2767;2788
;;;Vesterbro - Syd;3501;1909;1592
;;;Kgs. Enghave - Bavnehøj;2559;1265;1294
;;;Kgs. Enghave - Gl. Sydhavn;8902;4430;4472
;;;Kgs. Enghave - Holmene;12008;6371;5637
;;;Valby - Gl. Valby;8689;4296;4393
;;;Valby - Syd;14000;7098;6902
;;;Valby - Ålholm;6397;3260;3137
;;;Valby - Valby Sydvest;9923;5123;4800
;;;Valby - Vigerslev;4511;2375;2136
;;;Vanløse - Jyllingevej Kvarter;7386;3734;3652
;;;Vanløse - Jernbane Allé Kvarter;9522;4795;4727
;;;Vanløse - Sallingvej Kvarter;6465;3259;3206
;;;Vanløse - Grøndals Park Kvarter;3426;1676;1750
;;;Brønshøj-Husum - Husum;9453;4965;4488
;;;Brønshøj-Husum - Husum Nord;4874;2558;2316
;;;Brønshøj-Husum - Tingbjerg;2658;1369;1289
;;;Brønshøj-Husum - Brønshøj;6728;3356;3372
;;;Brønshøj-Husum - Bellahøj;2044;1048;996
;;;Bispebjerg - Emdrup;2511;1299;1212
;;;Bispebjerg- Ryparken-Lundehus;3812;1883;1929
;;;Bispebjerg - Bispebjerg;3804;1903;1901
;;;Bispebjerg - Utterslev;3684;1861;1823
;;;Bispebjerg - Nordvest;22255;11062;11193
;;;Amager Øst - Amagerbro Øst;16354;7999;8355
;;;Amager Øst - Sundbyøster;9760;4869;4891
;;;Amager Øst - Villakvartererne;9941;4995;4946
;;;Amager Øst - Nordøstamager;6539;3362;3177
;;;Amager Vest - Amagerbro Vest;5026;2400;2626
;;;Amager Vest - Bryggen Syd;3599;1894;1705
;;;Amager Vest - Faste Batteri;3388;1732;1656
;;;Amager Vest - Gamle Bryggen;5300;2585;2715
;;;Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter);2427;1166;1261
;;;Amager Vest - Kolonihavekvarteret;3669;1877;1792
;;;Amager Vest - Sundbyvester;8225;4139;4086
;;;Amager Vest - Sundholmsvejs kvarteret;7442;3647;3795
;;;Amager Vest - Urbanplanen;2363;1179;1184
;;;Amager Vest - Ørestad City;7731;4155;3576
;;;Amager Vest - Ørestad Syd;9093;4805;4288
;;Disposable income;København i alt;544602;265794;278808
;;;Bydel - Indre By;47523;22944;24579
