Befolkningen efter tid, civilstand, distrikt, alder og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
2026K1;Marital status;København i alt;All ages;671673;330281;341392
;;;0 years;9345;4824;4521
;;;1 years;7855;4050;3805
;;;2 years;6967;3594;3373
;;;3 years;6488;3295;3193
;;;4 years;6806;3477;3329
;;;5 years;6057;3070;2987
;;;6 years;5994;3044;2950
;;;7 years;5630;2857;2773
;;;8 years;5807;2991;2816
;;;9 years;5719;2893;2826
;;;10 years;5440;2801;2639
;;;11 years;5373;2713;2660
;;;12 years;5202;2706;2496
;;;13 years;5434;2814;2620
;;;14 years;5402;2783;2619
;;;15 years;5732;2865;2867
;;;16 years;5666;2878;2788
;;;17 years;5688;2911;2777
;;;18 years;5797;2999;2798
;;;19 years;6132;3055;3077
;;;20 years;6978;3284;3694
;;;21 years;9807;4480;5327
;;;22 years;13341;5973;7368
;;;23 years;15905;7216;8689
;;;24 years;17075;7819;9256
;;;25 years;18279;8343;9936
;;;26 years;18218;8521;9697
;;;27 years;18738;8867;9871
;;;28 years;18891;9197;9694
;;;29 years;18124;8796;9328
;;;30 years;17929;8910;9019
;;;31 years;17167;8439;8728
;;;32 years;15490;7867;7623
;;;33 years;15037;7706;7331
;;;34 years;13816;7042;6774
;;;35 years;13029;6613;6416
;;;36 years;11995;6077;5918
;;;37 years;11246;5768;5478
;;;38 years;10043;5105;4938
;;;39 years;9690;4958;4732
;;;40 years;9208;4580;4628
;;;41 years;8507;4273;4234
;;;42 years;8073;4109;3964
;;;43 years;7924;4002;3922
;;;44 years;7869;3941;3928
;;;45 years;7973;3989;3984
;;;46 years;7995;4001;3994
;;;47 years;7891;4006;3885
;;;48 years;7511;3764;3747
;;;49 years;7736;3931;3805
;;;50 years;8181;4168;4013
;;;51 years;8166;4162;4004
;;;52 years;7728;3900;3828
;;;53 years;7847;3979;3868
;;;54 years;7405;3777;3628
;;;55 years;6904;3507;3397
;;;56 years;6652;3412;3240
;;;57 years;6760;3484;3276
;;;58 years;7015;3502;3513
;;;59 years;7109;3655;3454
;;;60 years;6868;3509;3359
;;;61 years;6391;3303;3088
;;;62 years;6092;3113;2979
;;;63 years;5456;2770;2686
;;;64 years;5218;2601;2617
;;;65 years;4968;2486;2482
;;;66 years;4650;2311;2339
;;;67 years;4456;2194;2262
;;;68 years;4222;2112;2110
;;;69 years;4165;2040;2125
;;;70 years;3914;1883;2031
;;;71 years;3689;1662;2027
;;;72 years;3705;1726;1979
;;;73 years;3472;1574;1898
;;;74 years;3351;1581;1770
;;;75 years;3354;1499;1855
;;;76 years;3051;1356;1695
;;;77 years;3205;1442;1763
;;;78 years;3212;1451;1761
;;;79 years;2989;1299;1690
;;;80 years;2737;1160;1577
;;;81 years;2369;980;1389
;;;82 years;2160;884;1276
;;;83 years;1813;775;1038
;;;84 years;1420;557;863
;;;85 years;1289;504;785
;;;86 years;1132;434;698
;;;87 years;945;332;613
;;;88 years;752;246;506
;;;89 years;622;203;419
;;;90 years;504;157;347
;;;91 years;363;99;264
;;;92 years;329;88;241
;;;93 years;279;64;215
;;;94 years;202;42;160
;;;95 years;145;28;117
;;;96 years;121;24;97
;;;97 years;96;19;77
;;;98 years;55;17;38
;;;99+ years;126;13;113
;;Bydel - Indre By;Alder i alt;57366;27985;29381
;;;0 years;637;321;316
;;;1 years;536;271;265
;;;2 years;413;224;189
;;;3 years;397;210;187
;;;4 years;441;218;223
;;;5 years;381;180;201
;;;6 years;361;183;178
;;;7 years;378;212;166
;;;8 years;372;185;187
;;;9 years;414;208;206
;;;10 years;353;176;177
;;;11 years;359;190;169
;;;12 years;388;203;185
;;;13 years;388;206;182
;;;14 years;414;222;192
;;;15 years;422;221;201
;;;16 years;499;252;247
;;;17 years;473;228;245
;;;18 years;513;261;252
;;;19 years;554;262;292
;;;20 years;699;316;383
;;;21 years;1073;470;603
;;;22 years;1274;559;715
;;;23 years;1505;681;824
;;;24 years;1480;651;829
;;;25 years;1641;734;907
;;;26 years;1604;771;833
;;;27 years;1551;701;850
;;;28 years;1519;731;788
;;;29 years;1455;711;744
;;;30 years;1389;736;653
;;;31 years;1305;648;657
;;;32 years;1108;597;511
;;;33 years;1008;549;459
;;;34 years;875;439;436
;;;35 years;855;442;413
;;;36 years;771;390;381
;;;37 years;772;397;375
;;;38 years;624;319;305
;;;39 years;642;344;298
;;;40 years;637;329;308
;;;41 years;538;284;254
;;;42 years;536;269;267
;;;43 years;553;291;262
;;;44 years;514;251;263
;;;45 years;635;319;316
;;;46 years;596;257;339
;;;47 years;652;331;321
;;;48 years;588;289;299
;;;49 years;624;314;310
;;;50 years;753;380;373
;;;51 years;784;418;366
;;;52 years;744;387;357
;;;53 years;775;390;385
;;;54 years;805;423;382
;;;55 years;717;376;341
;;;56 years;730;351;379
;;;57 years;694;352;342
;;;58 years;764;374;390
;;;59 years;818;422;396
;;;60 years;727;369;358
;;;61 years;671;341;330
;;;62 years;637;310;327
;;;63 years;561;274;287
